,r1t1,r1t2,r1t3,r1t4,r2t1,r2t2,r2t3,r2t4
130,0.6428571428571429,0.7142857142857143,0.7333333333333333,0.8666666666666667,0.5333333333333333,0.625,0.875,0.5
131,0.8888888888888888,0.7857142857142857,0.75,0.2857142857142857,0.8571428571428571,0.6666666666666666,0.3,0.8571428571428571
132,0.7857142857142857,0.8571428571428571,0.25,0.6923076923076923,0.1,0.75,0.7777777777777778,0.5833333333333334
133,0.7857142857142857,0.9230769230769232,0.875,0.5625,0.9285714285714286,0.8333333333333334,0.8,0.7
134,0.7777777777777778,0.7142857142857143,0.75,0.5714285714285714,0.8571428571428571,0.8888888888888888,0.6,0.8571428571428571
135,0.7857142857142857,1.0,0.8666666666666667,0.8666666666666667,0.6,0.625,0.5,0.6666666666666666
136,0.8571428571428571,0.7857142857142857,0.8333333333333334,0.6153846153846154,0.8,0.875,0.6666666666666666,0.5833333333333334
137,0.8888888888888888,0.5714285714285714,0.75,0.4285714285714285,0.5,0.7777777777777778,0.7,0.8571428571428571
138,0.7142857142857143,0.3846153846153846,0.875,0.75,0.8571428571428571,0.5833333333333334,0.7,0.9
139,0.9285714285714286,0.0714285714285714,0.75,0.8461538461538461,0.5,0.875,0.6666666666666666,0.8333333333333334
140,0.8888888888888888,0.8571428571428571,0.75,0.2857142857142857,0.5,0.7777777777777778,0.4,0.8571428571428571
141,0.5714285714285714,0.7142857142857143,0.7333333333333333,0.8666666666666667,0.3333333333333333,0.625,0.875,0.5
142,0.7142857142857143,0.8571428571428571,0.25,0.9230769230769232,0.7,0.75,0.8888888888888888,0.6666666666666666
143,0.7272727272727273,0.8461538461538461,0.7272727272727273,0.5714285714285714,0.7333333333333333,0.7272727272727273,0.8333333333333334,0.9166666666666666
144,0.7142857142857143,0.9230769230769232,0.875,0.8125,0.8571428571428571,0.8333333333333334,0.9,0.6
145,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,1.0
146,0.8571428571428571,1.0,0.9333333333333332,0.9333333333333332,0.4666666666666667,0.625,0.625,0.5
147,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
148,0.7857142857142857,0.8571428571428571,0.3333333333333333,0.6923076923076923,0.8,0.75,0.8888888888888888,0.5
149,0.5,0.7857142857142857,0.2666666666666666,0.8666666666666667,0.5333333333333333,0.625,0.625,0.6666666666666666
150,0.7142857142857143,0.6153846153846154,0.875,0.4375,0.7857142857142857,0.75,0.8,0.8
151,0.7857142857142857,0.8571428571428571,0.4666666666666667,0.9333333333333332,0.2,0.75,0.625,0.5
152,0.8888888888888888,0.8571428571428571,0.5,0.2857142857142857,0.8571428571428571,0.8888888888888888,0.6,0.8571428571428571
153,0.8888888888888888,0.7142857142857143,0.5,0.4285714285714285,0.7142857142857143,0.8888888888888888,0.7,0.8571428571428571
154,0.7777777777777778,0.7142857142857143,0.75,0.5714285714285714,0.4285714285714285,0.8888888888888888,0.7,0.7142857142857143
155,0.7142857142857143,0.5384615384615384,0.8125,0.75,0.7142857142857143,0.75,0.6,0.9
156,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
157,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
158,0.7142857142857143,0.8571428571428571,0.6,0.8666666666666667,0.6,0.625,0.875,0.6666666666666666
159,0.5714285714285714,0.8571428571428571,0.4166666666666667,0.9230769230769232,0.8,0.75,0.7777777777777778,0.5833333333333334
160,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
161,0.6666666666666666,0.5714285714285714,0.75,0.5714285714285714,0.3571428571428571,0.7777777777777778,0.6,0.5714285714285714
162,0.7142857142857143,0.7857142857142857,0.3333333333333333,0.8666666666666667,0.4666666666666667,0.625,0.625,0.5
163,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
164,0.6428571428571429,0.9230769230769232,0.875,0.625,0.7857142857142857,0.8333333333333334,0.7,0.7
165,0.7142857142857143,0.8571428571428571,0.3333333333333333,0.9333333333333332,0.3333333333333333,0.625,0.625,0.6666666666666666
166,0.8888888888888888,0.7142857142857143,0.75,0.4285714285714285,0.8571428571428571,0.6666666666666666,0.2,0.7142857142857143
167,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,1.0
