,N_People
1068,8
1069,10
1070,7
1071,6
1072,7
1073,0
1074,10
1075,9
1076,6
1077,8
1078,11
1079,0
1080,0
1081,7
1082,7
1083,7
1084,0
1085,0
1086,7
1087,8
1088,6
1089,6
1090,11
1091,8
1092,4
1093,5
1094,0
1095,11
1096,7
1097,6
1098,8
1099,0
1100,0
1101,7
1102,2
1103,2
1104,7
1105,0
1106,2
1107,0
1108,5
1109,11
1110,2
1111,2
1112,6
1113,9
1114,5
1115,0
1116,8
1117,7
1118,7
1119,8
1120,5
1121,3
1122,11
1123,0
1124,7
1125,8
1126,6
1127,2
1128,6
1129,5
1130,11
1131,5
1132,8
1133,8
1134,7
1135,7
1136,0
1137,7
1138,6
1139,0
1140,0
1141,0
1142,11
1143,8
1144,6
1145,0
1146,0
1147,11
1148,6
1149,0
1150,5
1151,5
1152,7
1153,4
1154,8
1155,5
1156,0
1157,7
1158,0
1159,0
1160,8
1161,7
1162,0
1163,11
1164,8
1165,6
1166,2
1167,0
1168,11
1169,7
1170,7
1171,7
1172,11
1173,6
1174,5
1175,6
1176,0
1177,5
1178,11
1179,8
1180,6
1181,8
1182,7
1183,10
1184,5
1185,0
1186,7
1187,2
1188,2
1189,0
1190,8
1191,11
1192,11
1193,9
1194,8
1195,2
1196,8
1197,7
1198,11
1199,8
1200,7
1201,0
1202,11
1203,8
1204,6
1205,0
1206,8
1207,11
1208,8
1209,5
1210,0
1211,6
1212,5
1213,0
1214,11
1215,0
1216,7
1217,6
1218,11
1219,7
1220,9
1221,10
1222,5
1223,6
1224,8
1225,9
1226,0
1227,6
1228,6
1229,7
1230,0
1231,0
1232,1
1233,0
1234,5
1235,8
1236,0
1237,0
1238,8
1239,2
1240,6
1241,2
1242,7
1243,8
1244,7
1245,0
1246,6
1247,0
1248,8
1249,1
1250,6
1251,2
1252,7
1253,7
1254,9
1255,8
1256,11
1257,11
1258,11
1259,0
1260,8
1261,8
1262,8
1263,8
1264,0
1265,11
1266,5
1267,7
1268,1
1269,5
1270,6
1271,8
1272,2
1273,8
1274,5
1275,11
1276,7
1277,2
1278,7
1279,1
1280,6
1281,5
1282,8
1283,2
1284,11
1285,9
1286,8
1287,8
1288,0
1289,8
1290,7
1291,7
1292,10
1293,5
1294,0
1295,11
1296,11
1297,5
1298,11
1299,7
1300,6
1301,9
1302,1
1303,1
1304,6
1305,8
1306,6
1307,8
1308,0
1309,5
1310,0
1311,0
1312,7
1313,10
1314,11
1315,0
1316,6
1317,5
1318,1
1319,0
1320,0
1321,8
1322,5
1323,7
1324,7
1325,7
1326,7
1327,7
1328,11
1329,3
1330,7
1331,6
1332,3
1333,7
1334,7
1335,0
1336,0
1337,8
1338,8
1339,2
1340,10
1341,2
1342,11
1343,2
1344,2
1345,7
1346,7
1347,8
1348,5
1349,11
1350,8
1351,6
1352,6
1353,0
1354,7
1355,8
1356,0
1357,0
1358,2
1359,2
1360,8
1361,3
1362,8
1363,4
1364,11
1365,2
1366,6
1367,11
1368,7
1369,11
1370,7
1371,5
1372,7
1373,6
1374,5
1375,8
1376,11
1377,4
1378,8
1379,8
1380,11
1381,6
1382,0
1383,0
1384,1
1385,11
1386,7
1387,7
1388,8
1389,8
1390,6
1391,0
1392,0
1393,6
1394,2
1395,7
1396,8
1397,8
1398,6
1399,11
1400,6
1401,0
1402,0
1403,9
1404,2
1405,3
1406,8
1407,5
1408,9
1409,9
1410,0
1411,6
1412,8
1413,6
1414,11
1415,2
1416,1
1417,4
1418,2
1419,1
1420,2
1421,7
1422,3
1423,11
1424,0
1425,0
1426,0
1427,9
1428,1
1429,0
1430,5
1431,1
1432,6
1433,5
1434,0
1435,4
1436,6
1437,9
1438,5
1439,6
1440,7
1441,10
1442,9
1443,0
1444,7
1445,7
1446,8
1447,2
1448,6
1449,7
1450,9
1451,9
1452,7
1453,6
1454,8
1455,5
1456,0
1457,2
1458,4
1459,6
1460,7
1461,0
1462,8
1463,4
1464,11
1465,11
1466,2
1467,11
1468,4
1469,5
1470,9
1471,2
1472,8
1473,8
1474,4
1475,8
1476,11
1477,8
1478,0
1479,5
1480,11
1481,7
1482,0
1483,7
1484,7
1485,8
1486,11
1487,11
1488,7
1489,2
1490,1
1491,8
1492,11
1493,10
1494,0
1495,8
1496,6
1497,4
1498,7
1499,3
1500,0
1501,9
1502,2
1503,8
1504,0
1505,2
1506,7
1507,5
1508,11
1509,7
1510,6
1511,6
1512,2
1513,0
1514,11
1515,0
1516,5
1517,0
1518,0
1519,8
1520,11
1521,9
1522,5
1523,8
1524,5
1525,7
1526,7
1527,5
1528,10
1529,11
1530,7
1531,7
1532,0
1533,3
1534,0
1535,7
1536,11
1537,7
1538,8
1539,11
1540,3
1541,8
1542,8
1543,9
1544,11
1545,0
1546,5
1547,8
1548,8
1549,7
1550,11
1551,7
1552,1
1553,2
1554,9
1555,7
1556,0
1557,6
1558,2
1559,11
1560,11
1561,11
1562,11
1563,8
1564,4
1565,6
1566,1
1567,8
1568,5
1569,2
1570,8
1571,8
1572,11
1573,7
1574,11
1575,2
1576,4
1577,8
1578,11
1579,1
1580,6
1581,1
1582,11
1583,6
1584,8
1585,7
1586,11
1587,7
1588,11
1589,8
1590,8
1591,5
1592,8
1593,7
1594,0
1595,0
1596,5
1597,11
1598,7
1599,0
1600,0
1601,0
1602,9
1603,8
1604,11
1605,8
1606,3
1607,8
1608,7
1609,6
1610,7
1611,6
1612,6
1613,6
1614,9
1615,9
1616,6
1617,6
1618,4
1619,7
1620,11
1621,5
1622,7
1623,7
1624,8
1625,5
1626,0
1627,0
1628,7
1629,7
1630,11
1631,6
1632,9
1633,0
1634,6
1635,11
1636,11
1637,0
1638,8
1639,11
1640,0
1641,7
1642,6
1643,5
1644,8
1645,9
1646,8
1647,11
1648,4
1649,6
1650,2
1651,8
1652,3
1653,11
1654,2
1655,0
1656,5
1657,7
1658,8
1659,8
1660,11
1661,3
1662,3
1663,0
1664,7
1665,7
1666,6
1667,2
1668,11
1669,1
1670,0
1671,4
1672,3
1673,0
1674,7
1675,1
1676,11
1677,0
1678,5
1679,2
1680,5
1681,5
1682,5
1683,10
1684,4
1685,2
1686,8
1687,9
1688,5
1689,0
1690,4
1691,8
1692,5
1693,7
1694,11
1695,7
1696,0
1697,6
1698,0
1699,8
1700,0
1701,2
1702,2
1703,0
1704,1
1705,1
1706,7
1707,7
1708,9
1709,2
1710,5
1711,7
1712,7
1713,1
1714,7
1715,2
1716,0
1717,8
1718,7
1719,8
1720,7
1721,6
1722,10
1723,11
1724,6
1725,2
1726,5
1727,7
1728,9
1729,8
1730,2
1731,11
1732,8
1733,8
1734,4
1735,8
1736,11
1737,0
1738,0
1739,7
1740,8
1741,0
1742,7
1743,6
1744,2
1745,0
1746,11
1747,7
1748,4
1749,4
1750,4
1751,6
1752,7
1753,7
1754,7
1755,11
1756,7
1757,6
1758,7
1759,8
1760,11
1761,6
1762,0
1763,7
1764,0
1765,2
1766,11
1767,11
1768,0
1769,11
1770,5
1771,8
1772,7
1773,4
1774,0
1775,8
1776,11
1777,6
1778,2
1779,1
1780,0
1781,0
1782,8
1783,8
1784,6
1785,7
1786,6
1787,11
1788,6
1789,7
1790,11
1791,0
1792,5
1793,8
1794,11
1795,2
1796,8
1797,11
1798,8
1799,9
1800,11
1801,2
1802,6
1803,5
1804,0
1805,2
1806,11
1807,2
1808,5
1809,11
1810,11
1811,6
1812,0
1813,0
1814,0
1815,8
1816,0
1817,2
1818,6
1819,11
1820,0
1821,5
1822,11
1823,11
1824,8
1825,2
1826,0
1827,2
1828,6
1829,7
1830,0
1831,9
1832,9
1833,7
1834,0
1835,4
1836,0
1837,0
1838,7
1839,2
1840,6
1841,8
1842,7
1843,3
1844,0
1845,0
1846,8
1847,0
1848,8
1849,8
1850,8
1851,5
1852,8
1853,11
1854,2
1855,0
